Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Bolesławiec,PPH01,"15,580583","51,255806","Państwowy monitoring środowiska, art. 26 Poś",2018-06-25 11:53:00,2018-10-16 18:30:00,"Bolesławiec, Kosiby",D_02_000350_001,Dzień 16h,"64,9"
dolnośląskie,Bolesławiec,PPH01,"15,580583","51,255806","Państwowy monitoring środowiska, art. 26 Poś",2018-10-17 22:00:00,2018-10-18 06:00:00,"Bolesławiec, Kosiby",D_02_000350_001,Noc 8h,"59,8"
dolnośląskie,Bolesławiec,PPH02,"15,565861","51,253361","Państwowy monitoring środowiska, art. 26 Poś",2018-07-03 09:21:00,2018-10-09 18:45:00,"Bolesławiec, Jeleniogórska",D_02_000349_001,Dzień 16h,"65,9"
dolnośląskie,Bolesławiec,PPH02,"15,565861","51,253361","Państwowy monitoring środowiska, art. 26 Poś",2018-10-17 22:00:00,2018-10-18 06:00:00,"Bolesławiec, Jeleniogórska",D_02_000349_001,Noc 8h,"58,7"
dolnośląskie,Bolesławiec,PPH03,"15,554917","51,264917","Państwowy monitoring środowiska, art. 26 Poś",2018-06-25 09:59:00,2018-10-18 13:25:00,"Bolesławiec, Zgorzelecka",D_02_000348_001,Dzień 16h,"68,1"
dolnośląskie,Bolesławiec,PPH03,"15,554917","51,264917","Państwowy monitoring środowiska, art. 26 Poś",2018-10-17 22:00:00,2018-10-18 06:00:00,"Bolesławiec, Zgorzelecka",D_02_000348_001,Noc 8h,"59,8"
dolnośląskie,Bolesławiec,PPH04,"15,539556","51,269167","Państwowy monitoring środowiska, art. 26 Poś",2018-06-26 09:40:00,2018-11-13 13:47:00,"Bolesławiec, Widok",D_02_000347_001,Dzień 16h,"66,9"
dolnośląskie,Bolesławiec,PPH04,"15,539556","51,269167","Państwowy monitoring środowiska, art. 26 Poś",2018-10-18 22:00:00,2018-10-19 06:00:00,"Bolesławiec, Widok",D_02_000347_001,Noc 8h,"59,8"
dolnośląskie,Bolesławiec,PPH05,"15,575306","51,261917","Państwowy monitoring środowiska, art. 26 Poś",2018-06-26 11:33:00,2018-11-09 13:29:00,"Bolesławiec, Chrobrego",D_02_000351_001,Dzień 16h,"61,2"
dolnośląskie,Bolesławiec,PPH05,"15,575306","51,261917","Państwowy monitoring środowiska, art. 26 Poś",2018-10-17 22:00:00,2018-10-18 06:00:00,"Bolesławiec, Chrobrego",D_02_000351_001,Noc 8h,"54,7"
