Województwo ,Kod punktu pomiarowego ,Nazwa punktu pomiarowego ,Miejscowość ,Współrz. pp WGS84 (dł. geogr.) ,Współrz. pp WGS84 (szer. geogr.) ,Cel pomiaru ,Data rozpoczęcia ,Data zakończenia ,Nazwa odcinka drogi ,Czas odniesienia ,Laeq po korekcie [dB] ,
dolnośląskie,D_02_000042_002,ul. Główna 26,Psary,"17,029547","51,185764",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),4.11.2021,5.11.2021,"Psary, ul Główna",Dzień 16h,"70,8",
dolnośląskie,D_02_000042_002,ul. Główna 26,Psary,"17,029547","51,185764",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),4.11.2021,5.11.2021,"Psary, ul Główna",Noc 8h,"64,7",
dolnośląskie,D_02_000078_002,ul. Kościuszki 42,Pieszyce,"16,589128","50,717403",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),22.11.2021,23.11.2021,ul. T Kościuszki,Dzień 16h,"65,2",
dolnośląskie,D_02_000078_002,ul. Kościuszki 42,Pieszyce,"16,589128","50,717403",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),22.11.2021,23.11.2021,ul. T Kościuszki,Noc 8h,"56,6",
dolnośląskie,D_02_000117_001,ul. Kościuszki 52,Bolesławiec,"15,571778","51,276222",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),7.12.2021,8.12.2021,"Bolesławiec, ul. Tadeusza Kościuszki 52",Dzień 16h,"68,8",
dolnośląskie,D_02_000117_001,ul. Kościuszki 52,Bolesławiec,"15,571778","51,276222",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),7.12.2021,8.12.2021,"Bolesławiec, ul. Tadeusza Kościuszki 52",Noc 8h,"61,8",
dolnośląskie,D_02_000187_002,ul. Klodzka 14,Jedlina-Zdrój,"16,358792","50,714733",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2.12.2021,3.12.2021,"Jedlina Zdrój,ul. Kłodzka",Dzień 16h,"67,3",
dolnośląskie,D_02_000187_002,ul. Klodzka 14,Jedlina-Zdrój,"16,358792","50,714733",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2.12.2021,3.12.2021,"Jedlina Zdrój,ul. Kłodzka",Noc 8h,"61,2",
dolnośląskie,D_02_000188_003,ul. Kolejowa 25,Szczawno-Zdrój,"16,248903","50,808372",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2.12.2021,3.12.2021,"Szczawno-Zdrój, ul. Kolejowa",Dzień 16h,"64,4",
dolnośląskie,D_02_000188_003,ul. Kolejowa 25,Szczawno-Zdrój,"16,248903","50,808372",Pomiar w trybie art.175 ust.1 Poś (pomiary okresowe),2.12.2021,3.12.2021,"Szczawno-Zdrój, ul. Kolejowa",Noc 8h,"56,4",
