Województwo,Miejscowość,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Chrząstawa Mała,D_02_000510_001,"Chrząstawa Mała, ul. Wrocławska 79","17,281667","51,081778","Państwowy monitoring środowiska, art. 26 Poś",2022-05-17 06:00:00,2022-05-18 06:00:00,droga powiatowa_Chrząstawa Mała,Dzień 16h,"64,7"
dolnośląskie,Chrząstawa Mała,D_02_000510_001,"Chrząstawa Mała, ul. Wrocławska 79","17,281667","51,081778","Państwowy monitoring środowiska, art. 26 Poś",2022-05-17 06:00:00,2022-05-18 06:00:00,droga powiatowa_Chrząstawa Mała,Noc 8h,"57,4"
dolnośląskie,Idzików,D_02_000503_001,Idzików 3,"16,756528","50,266917","Państwowy monitoring środowiska, art. 26 Poś",2022-07-12 22:00:00,2022-07-13 21:59:00,droga wojewódzka nr 392_Idzików,Dzień 16h,"54,4"
dolnośląskie,Idzików,D_02_000503_001,Idzików 3,"16,756528","50,266917","Państwowy monitoring środowiska, art. 26 Poś",2022-07-12 22:00:00,2022-07-13 21:59:00,droga wojewódzka nr 392_Idzików,Noc 8h,"49,5"
dolnośląskie,Jelenia Góra,D_02_000514_001,"Jelenia Góra, ul. Bronisława Czecha 12","15,644722","50,842778","Państwowy monitoring środowiska, art. 26 Poś",2022-09-12 06:00:00,2022-09-13 06:00:00,droga wojewódzka nr 366 Jelenia Góra,Dzień 16h,"65,6"
dolnośląskie,Jelenia Góra,D_02_000514_001,"Jelenia Góra, ul. Bronisława Czecha 12","15,644722","50,842778","Państwowy monitoring środowiska, art. 26 Poś",2022-09-12 06:00:00,2022-09-13 06:00:00,droga wojewódzka nr 366 Jelenia Góra,Noc 8h,53
dolnośląskie,Kostrzyca,D_02_000515_001,"Kostrzyca, ul. Jeleniogórska 57","15,811111","50,812778","Państwowy monitoring środowiska, art. 26 Poś",2022-10-11 06:00:00,2022-10-12 06:00:00,droga wojewódzka_Kostrzyca,Dzień 16h,63
dolnośląskie,Kostrzyca,D_02_000515_001,"Kostrzyca, ul. Jeleniogórska 57","15,811111","50,812778","Państwowy monitoring środowiska, art. 26 Poś",2022-10-11 06:00:00,2022-10-12 06:00:00,droga wojewódzka_Kostrzyca,Noc 8h,"54,5"
dolnośląskie,Kowary,D_02_000516_001,"Kowary OSP, ul. Zamkowa 2b","15,832778","50,801111","Państwowy monitoring środowiska, art. 26 Poś",2022-10-13 06:00:00,2022-10-14 06:00:00,droga wojewódzka nr 366_Kowary,Dzień 16h,"61,4"
dolnośląskie,Kowary,D_02_000516_001,"Kowary OSP, ul. Zamkowa 2b","15,832778","50,801111","Państwowy monitoring środowiska, art. 26 Poś",2022-10-13 06:00:00,2022-10-14 06:00:00,droga wojewódzka nr 366_Kowary,Noc 8h,50
dolnośląskie,Krzywa,D_02_000711_001,Krzywa 59,"15,814778","51,276806","Państwowy monitoring środowiska, art. 26 Poś",2022-12-07 06:00:00,2022-12-08 06:00:00,droga krajowa nr 94 - Krzywa,Dzień 16h,"67,4"
dolnośląskie,Krzywa,D_02_000711_001,Krzywa 59,"15,814778","51,276806","Państwowy monitoring środowiska, art. 26 Poś",2022-12-07 06:00:00,2022-12-08 06:00:00,droga krajowa nr 94 - Krzywa,Noc 8h,"62,9"
dolnośląskie,Legnica,D_02_000299_003,P11 (2022) Dziennikarska,"16,156111","51,206389",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,"Legnica, ul. Dziennikarska",Dzień 16h,"65,6"
dolnośląskie,Legnica,D_02_000299_003,P11 (2022) Dziennikarska,"16,156111","51,206389",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,"Legnica, ul. Dziennikarska",Noc 8h,"59,7"
dolnośląskie,Legnica,D_02_000301_003,P01 - (2022) Chojnowska,"16,183889","51,205833",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,ul. Chojnowska,Dzień 16h,"70,4"
dolnośląskie,Legnica,D_02_000301_003,P01 - (2022) Chojnowska,"16,183889","51,205833",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,ul. Chojnowska,Noc 8h,"64,7"
dolnośląskie,Legnica,D_02_000303_003,P15 (2022) Kartuska,"16,173333","51,211667",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,ul. Kartuska,Dzień 16h,"65,9"
dolnośląskie,Legnica,D_02_000303_003,P15 (2022) Kartuska,"16,173333","51,211667",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,ul. Kartuska,Noc 8h,"60,5"
dolnośląskie,Legnica,D_02_000304_003,P10 (2022) Piastowska,"16,156389","51,209722",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,"Legnica, ul. Piastowska",Dzień 16h,"65,9"
dolnośląskie,Legnica,D_02_000304_003,P10 (2022) Piastowska,"16,156389","51,209722",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,"Legnica, ul. Piastowska",Noc 8h,"60,3"
dolnośląskie,Legnica,D_02_000306_003,P16 (2022) Wrocławska,"16,193056","51,209722",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,ul. Wrocławska,Dzień 16h,"66,1"
dolnośląskie,Legnica,D_02_000306_003,P16 (2022) Wrocławska,"16,193056","51,209722",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,ul. Wrocławska,Noc 8h,"61,3"
dolnośląskie,Legnica,D_02_000308_003,P05 (2022) Aleja Rezczpospolitej,"16,179444","51,2025",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,Aleja Rzeczpospolitej,Dzień 16h,"63,7"
dolnośląskie,Legnica,D_02_000308_003,P05 (2022) Aleja Rezczpospolitej,"16,179444","51,2025",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,Aleja Rzeczpospolitej,Noc 8h,"58,7"
dolnośląskie,Legnica,D_02_000309_003,P07 (2022) Aleja Piłsudskiego,"16,183889","51,205833",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, Aleja Piłsudskiego",Dzień 16h,"66,2"
dolnośląskie,Legnica,D_02_000309_003,P07 (2022) Aleja Piłsudskiego,"16,183889","51,205833",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, Aleja Piłsudskiego",Noc 8h,"59,2"
dolnośląskie,Legnica,D_02_000318_003,P12 (2022) Nowodworska,"16,1625","51,1875",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,"Legnica, ul. Nowodworska",Dzień 16h,"63,5"
dolnośląskie,Legnica,D_02_000318_003,P12 (2022) Nowodworska,"16,1625","51,1875",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,"Legnica, ul. Nowodworska",Noc 8h,"58,4"
dolnośląskie,Legnica,D_02_000325_003,P14 (2022) Witelona,"16,167222","51,208611",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,ul. Witelona,Dzień 16h,"65,3"
dolnośląskie,Legnica,D_02_000325_003,P14 (2022) Witelona,"16,167222","51,208611",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,ul. Witelona,Noc 8h,"59,7"
dolnośląskie,Legnica,D_02_000334_003,P09 (2022) Jerzego Libana,"16,168056","51,211111",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Libana",Dzień 16h,"63,9"
dolnośląskie,Legnica,D_02_000334_003,P09 (2022) Jerzego Libana,"16,168056","51,211111",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Libana",Noc 8h,57
dolnośląskie,Legnica,D_02_000375_002,P08 (2022) al. 100 lecia Odzyskania Niepodległości,"16,160833","51,195833",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,"Legnica, al 100-lecia Odzyskania Niepodległości",Dzień 16h,"61,4"
dolnośląskie,Legnica,D_02_000375_002,P08 (2022) al. 100 lecia Odzyskania Niepodległości,"16,160833","51,195833",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,"Legnica, al 100-lecia Odzyskania Niepodległości",Noc 8h,"54,7"
dolnośląskie,Legnica,D_02_000520_001,P02 (2022) Leszczyńska,"16,162778","51,218333",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Leszczyńska",Dzień 16h,"66,1"
dolnośląskie,Legnica,D_02_000520_001,P02 (2022) Leszczyńska,"16,162778","51,218333",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Leszczyńska",Noc 8h,"60,1"
dolnośląskie,Legnica,D_02_000521_001,P03 (2022) Złotoryjska,"16,1425","51,198889",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Złotoryjska",Dzień 16h,"64,2"
dolnośląskie,Legnica,D_02_000521_001,P03 (2022) Złotoryjska,"16,1425","51,198889",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Złotoryjska",Noc 8h,"59,3"
dolnośląskie,Legnica,D_02_000522_001,P04 (2022) Jaworzyńska,"16,165","51,176389",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Jaworzyńska (1)",Dzień 16h,"67,8"
dolnośląskie,Legnica,D_02_000522_001,P04 (2022) Jaworzyńska,"16,165","51,176389",Pomiar wykonany w ramach mapy akustycznej,2022-08-08 06:00:00,2022-08-09 06:00:00,"Legnica, ul. Jaworzyńska (1)",Noc 8h,"63,9"
dolnośląskie,Legnica,D_02_000523_001,P06 (2022) Jaworzyńska,"16,1575","51,193611",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,"Legnica, ul Jaworzyńska (2)",Dzień 16h,"63,7"
dolnośląskie,Legnica,D_02_000523_001,P06 (2022) Jaworzyńska,"16,1575","51,193611",Pomiar wykonany w ramach mapy akustycznej,2022-08-09 06:00:00,2022-08-10 06:00:00,"Legnica, ul Jaworzyńska (2)",Noc 8h,57
dolnośląskie,Legnica,D_02_000523_002,P13 (2022) Jaworzyńska Apteka,"16,159722","51,204167",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,"Legnica, ul Jaworzyńska (2)",Dzień 16h,"60,9"
dolnośląskie,Legnica,D_02_000523_002,P13 (2022) Jaworzyńska Apteka,"16,159722","51,204167",Pomiar wykonany w ramach mapy akustycznej,2022-08-10 06:00:00,2022-08-11 06:00:00,"Legnica, ul Jaworzyńska (2)",Noc 8h,"55,2"
