Kod;Nazwa;Rok;Kategoria;Jednostka;Value
0;POLSKA;2002;o charakterze gospodarczym;-;109698.0
0;POLSKA;2002;o charakterze kryminalnym;-;1083854.0
0;POLSKA;2002;ogółem;-;1404229.0
0;POLSKA;2002;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;163012.0
0;POLSKA;2002;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;165604.0
0;POLSKA;2002;przeciwko mieniu;-;890085.0
0;POLSKA;2002;przeciwko rodzinie i opiece;-;48026.0
0;POLSKA;2002;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;47816.0
0;POLSKA;2002;przeciwko życiu i zdrowiu;-;33866.0
0;POLSKA;2003;o charakterze gospodarczym;-;151596.0
0;POLSKA;2003;o charakterze kryminalnym;-;1101387.0
0;POLSKA;2003;ogółem;-;1466643.0
0;POLSKA;2003;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;168827.0
0;POLSKA;2003;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;171890.0
0;POLSKA;2003;przeciwko mieniu;-;932393.0
0;POLSKA;2003;przeciwko rodzinie i opiece;-;46262.0
0;POLSKA;2003;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;47395.0
0;POLSKA;2003;przeciwko życiu i zdrowiu;-;32288.0
0;POLSKA;2004;o charakterze gospodarczym;-;152148.0
0;POLSKA;2004;o charakterze kryminalnym;-;1085295.0
0;POLSKA;2004;ogółem;-;1461217.0
0;POLSKA;2004;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;177296.0
0;POLSKA;2004;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;179755.0
0;POLSKA;2004;przeciwko mieniu;-;901860.0
0;POLSKA;2004;przeciwko rodzinie i opiece;-;40322.0
0;POLSKA;2004;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;47395.0
0;POLSKA;2004;przeciwko życiu i zdrowiu;-;32925.0
0;POLSKA;2005;o charakterze gospodarczym;-;136801.0
0;POLSKA;2005;o charakterze kryminalnym;-;1000096.0
0;POLSKA;2005;ogółem;-;1379962.0
0;POLSKA;2005;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;196486.0
0;POLSKA;2005;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;198860.0
0;POLSKA;2005;przeciwko mieniu;-;811971.0
0;POLSKA;2005;przeciwko rodzinie i opiece;-;34636.0
0;POLSKA;2005;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;45890.0
0;POLSKA;2005;przeciwko życiu i zdrowiu;-;31736.0
0;POLSKA;2006;o charakterze gospodarczym;-;145314.0
0;POLSKA;2006;o charakterze kryminalnym;-;893389.0
0;POLSKA;2006;ogółem;-;1287918.0
