Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
1;Kraków Tyniec;09.05.2022;20;1000;710;1,58;6,53;0,57;43,35;3,53;;;;4,69;0,61;2,17;0,26;0,46
2;Annopol;09.05.2022;20;1000;720;1,6;3,69;0,34;22,07;2,92;;;;2,17;0,3;2,41;0,27;1,11
3;Warszawa;20.05.2022;20;1000;678;1,51;1,74;0,09;32,34;3,16;;;;1,65;0,22;1,89;0,23;1,15
4;Płock;07.05.2022;20;1000;551;1,22;0,76;0,05;12,98;2,93;;;;15,97;2,27;2,7;0,34;0,17
5;Kiezmark;07.05.2022;20;1000;816;1,81;0,9;0,07;15,04;23,97;;;;2,49;0,38;2,07;0,24;0,83
6;Pułtusk;06.05.2022;20;1000;740;1,64;7,71;0,35;25,23;2,75;1,98;0,85;0,08;4,39;0,65;3,11;0,36;0,71
7;Wyszków;06.05.2022;20;1000;462;1,03;4,37;0,22;46,15;3,57;2,58;0,89;0,06;2,83;0,38;2,19;0,25;0,77
8;Chałupki;10.05.2022;20;1000;550;1,22;8,09;0,73;59,03;4,04;2;0,87;0,03;6,33;0,81;2;0,23;0,36
9;Wrocław;10.05.2022;20;1000;730;1,62;1,08;0,1;8,56;1,96;;;;3,27;0,45;2,35;0,27;0,72
10;Głogów;10.05.2022;20;1000;703;1,56;0,88;0,09;5,14;1,79;;;;2,49;0,4;1,23;0,16;0,49
11;Krajnik;11.05.2022;20;1000;615;1,37;0,73;0,08;10,12;3,38;;;;2,85;0,43;2,7;0,3;0,95
12;Poznań;12.05.2022;20;1000;687;1,53;0,76;0,1;10,78;2,31;;;;1,04;0,16;2,46;0,27;2,36
13;Wigry;06.05.2022;20;1000;720;1,6;3,66;0,16;5,76;2;;;;3,94;0,52;1,87;0,22;0,48
14;Wadąg;06.05.2022;20;1000;690;1,53;2,31;0,1;12,46;2,88;;;;1,15;0,19;1,99;0,2;1,73
15;Wielkie Partęczyny;07.05.2022;20;1000;770;1,71;3,13;0,14;9,4;2,11;;;;5,26;0,68;1,56;0,18;0,3
16;Drawsko;11.05.2022;20;1000;660;1,47;1,24;0,12;<1,5;;;;;2,79;0,38;2,23;0,26;0,8
17;Niesłysz;11.05.2022;20;1000;678;1,51;4,68;0,29;16,96;3,13;3,18;1,5;0,18;1,53;0,21;2,29;0,27;1,5
18;Rogóźno;09.05.2022;20;1000;541,3;1,2;9,83;0,81;6,61;2,45;2,21;1,65;0,33;5,24;0,69;8,46;0,84;1,6
1;Kraków Tyniec;03.10.2022;20;1000;660;1,47;3,01;0,2;15,8;2,46;;;;5,14;0,56;1,85;0,2;0,36
2;Annopol;03.10.2022;20;1000;550;1,22;2,09;0,13;42,4;3,53;;;;2,88;0,38;1,7;0,18;0,59
3;Warszawa;10.10.2022;20;1000;700;1,56;1,71;0,09;24,1;3,82;;;;4,07;0,34;1,96;0,26;0,48
4;Płock;22.09.2022;20;1000;760;1,69;0,24;0,09;12,2;3,52;;;;1,88;0,21;1,97;0,19;1,05
5;Kiezmark;22.09.2022;20;1000;810;1,8;0,73;0,1;3,47;1,71;;;;2,57;0,31;3,01;0,45;1,17
6;Pułtusk;21.09.2022;20;1000;560;1,24;9,1;0,36;27,7;3,37;;;;2,15;0,3;2,4;0,24;1,12
7;Wyszków;21.09.2022;20;1000;830;1,84;0,32;0,06;<1,5;;;;;5,49;0,48;1,7;0,18;0,31
8;Chałupki;04.10.2022;20;1000;510;1,13;10,02;0,48;61,8;4,75;;;;4,17;0,38;2,2;0,24;0,53
9;Wrocław;04.10.2022;20;1000;700;1,56;0,34;0,06;8,9;1,63;;;;4,58;0,41;2,38;0,29;0,52
10;Głogów;04.10.2022;20;1000;450;1;20,22;0,87;110;6,8;;;;4,07;0,3;3,47;0,36;0,85
11;Krajnik;04.10.2022;20;1000;840;1,87;0,29;0,04;8,75;2,22;;;;1,31;0,17;2,63;0,26;2,01
12;Poznań;05.10.2022;20;1000;760;1,69;0,65;0,05;<1,5;;;;;1,08;0,18;2,66;0,29;2,46
13;Wigry;21.09.2022;20;1000;620;1,38;4,83;0,32;5,76;2;;;;1,6;0,19;1,5;0,18;0,94
14;Wadąg;21.09.2022;20;1000;720;1,6;1,84;0,11;6,19;2,38;;;;1,68;0,2;1,32;0,15;0,79
15;Wielkie Partęczyny;22.09.2022;20;1000;760;1,69;4,25;0,28;22,7;5,35;;;;3,09;0,3;1,99;0,23;0,64
16;Drawsko;06.10.2022;20;1000;710;1,58;1,33;0,1;2,81;1,01;;;;3,72;0,32;1,98;0,25;0,53
17;Niesłysz;05.10.2022;20;1000;700;1,56;3,57;0,23;18,5;3,47;;;;2,28;0,31;1,09;0,12;0,48
18;Rogóźno;03.10.2022;20;1000;850;1,89;3,04;0,22;17,3;4,13;;;;4,5;0,44;6,34;0,65;1,41
