Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
1;Kraków Tyniec;24.04.2023;20;1000;472;1,05;7,31;0,44;40,24;3,29;2,86;0,9;0,07;4,23;0,7;2,98;0,3;0,7
2;Annopol;24.04.2023;20;1000;820;1,82;0,19;0,03;8,8;2,02;;;;5,03;0,74;3,49;0,2;0,69
3;Warszawa;20.06.2023;20;1000;700;1,56;0,7;0,06;12,06;2,01;;;;2,15;0,3;2,28;0,23;1,06
4;Płock;16.05.2023;20;1000;746;1,66;0,3;0,04;2,73;1,68;;;;1,85;0,32;2,67;0,36;1,44
5;Kiezmark;16.05.2023;20;1000;650;1,44;1,4;0,11;13,25;2,52;;;;3,13;0,48;3,64;0,3;1,16
6;Pułtusk;15.05.2023;20;1000;706;1,57;5,04;0,35;9,52;1,77;;;;2,01;0,31;2,69;0,36;1,34
7;Wyszków;15.05.2023;20;1000;483;1,07;4,25;0,33;38,1;3,24;;;;1,16;0,19;3,77;0,29;3,25
8;Chałupki;25.04.2023;20;1000;348;0,77;22,11;1,35;137,36;6,37;6;1,25;0,04;4,12;0,58;2,3;0,22;0,56
9;Wrocław;25.04.2023;20;1000;740;1,64;0,46;0,05;4,61;1,78;;;;3,38;0,47;2,9;0,32;0,86
10;Głogów;25.04.2023;20;1000;580;1,29;2,9;0,2;39,89;3,3;;;;1,74;0,3;3,85;0,38;2,21
11;Krajnik;26.04.2023;20;1000;692;1,54;0,41;0,05;7,86;1,72;;;;2,07;0,32;3,21;0,32;1,55
12;Poznań;27.04.2023;20;1000;706;1,57;0,86;0,07;10,6;2,15;;;;2,43;0,34;3,86;0,41;1,59
13;Wigry;15.05.2023;20;1000;430;0,96;11,84;0,74;18,39;2,53;;;;2,05;0,29;2,22;0,25;1,08
14;Wadąg;15.05.2023;20;1000;722;1,6;1,88;0,14;8,52;1,94;;;;3,24;0,54;2,19;0,26;0,68
15;Wielkie Partęczyny;16.05.2023;20;1000;745;1,66;0,69;0,06;3,76;1,28;;;;1,84;0,32;1,55;0,11;0,84
16;Drawsko;27.04.2023;20;1000;800;1,78;1,48;0,1;2,57;1,07;;;;11,97;1,7;1,82;0,21;0,15
17;Niesłysz;26.04.2023;20;1000;645;1,43;5,09;0,31;16,18;1,82;;;;11,02;1,78;2,92;0,27;0,26
18;Rogóźno;24.04.2023;20;1000;351;0,78;47,16;2,83;231,45;9,92;6,86;1,57;0,03;4,17;0,62;6,51;0,54;1,56
1;Kraków Tyniec;05.09.2023;20;1000;665;1,48;1,72;0,12;12,62;1,91;;;;2,09;0,41;2,5;0,28;1,2
2;Annopol;05.09.2023;20;1000;720;1,6;0,37;0,04;12,48;2,25;;;;2,07;0,4;2,37;0,24;1,14
3;Warszawa;18.09.2023;20;1000;690;1,53;0,36;0,04;14,44;2,35;;;;0,62;0,08;2,27;0,24;3,66
4;Płock;21.09.2023;20;1000;810;1,8;0,19;0,03;4,48;1,24;;;;1,43;0,15;2,42;0,26;1,69
5;Kiezmark;21.09.2023;20;1000;600;1,33;1,32;0,1;7,39;1,79;;;;2,42;0,51;2,09;0,21;0,86
6;Pułtusk;20.09.2023;20;1000;420;0,93;11,94;0,75;44,01;3,41;;;;1,85;0,16;1,79;0,2;0,97
7;Wyszków;20.09.2023;20;1000;740;1,64;0,37;0,05;8,05;2,01;;;;1,07;0,22;1,7;0,25;1,59
8;Chałupki;06.09.2023;20;1000;480;1,07;6,95;0,45;35,7;2,62;1,13;0,5;0,03;4,97;0,35;1,88;0,19;0,71
9;Wrocław;06.09.2023;20;1000;690;1,53;0,85;0,07;13,95;2,33;;;;2,65;0,19;1,9;0,32;0,71
10;Głogów;06.09.2023;20;1000;733;1,63;0,26;0,04;5,83;1,59;;;;2,67;0,21;3,13;0,4;1,22
11;Krajnik;07.09.2023;20;1000;770;1,71;0,25;0,03;9,94;2,69;;;;2,57;0,33;2,14;0,23;1,51
12;Poznań;08.09.2023;20;1000;722;1,6;0,44;0,04;6,81;1,57;;;;1,42;0,12;1,98;0,28;0,75
13;Wigry;20.09.2023;20;1000;760;1,69;0,94;0,08;4,22;1,3;;;;0,68;0,08;1,17;0,16;1,72
14;Wadąg;20.09.2023;20;1000;645;1,43;2,32;0,17;30,65;3,64;;;;0,91;0,11;1,62;0,18;1,78
15;Wielkie Partęczyny;21.09.2023;20;1000;670;1,49;4,38;0,27;9,42;1,52;;;;1,89;0,15;1,8;0,19;0,95
16;Drawsko;08.09.2023;20;1000;733;1,63;1,41;0,1;6,68;1,78;;;;1,22;0,13;1,96;0,22;1,61
17;Niesłysz;07.09.2023;20;1000;620;1,38;4,01;0,27;3,59;1,22;;;;1,27;0,13;1,07;0,13;0,84
18;Rogóźno;05.09.2023;20;1000;63;0,63;98,85;5,76;652,45;16,37;11,47;1,58;0,02;2,81;0,25;7,58;0,63;2,7
