Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
2;Annopol;08.06.2005;20;1720;546,42;1,21;1,35;0,18;33,5;7,83;4,02;1,48;0,12;1,48;0,26;3,87;0,32;2,61
3;Warszawa;26.04.2005;20;;718,43;1,6;1,38;0,14;10;2,54;2,26;1,08;0,226;2,18;0,33;4,66;0,46;2,14
4;Płock;24.05.2005;20;2330;717,41;1,59;0,43;0,1;3,65;1,41;< 2;-;-;1,92;0,35;4,54;0,61;2,36
5;Kiezmark;24.05.2005;20;2000;736,03;1,64;1,14;0,11;11;2,35;< 2;-;-;1,81;0,29;4,88;0,48;2,7
6;Pułtusk;20.04.2005;20;1100;523,8;1,16;11;0,91;19;3,38;4,02;1,71;0,211;2,35;0,35;4,82;0,46;2,05
7;Wyszków ;20.04.2005;20;1555;609,45;1,35;2,43;0,23;8,46;2,22;< 2;-;-;1,83;0,3;4,78;0,44;2,61
8;Chałupki ;01.06.2005;20;1820;592,8;1,32;3,54;0,32;24,6;4,38;< 2;-;-;4,63;0,54;4,61;0,37;1
9;Wrocław;02.06.2005;20;1600;631,32;1,4;7,27;0,6;65;7,97;< 2;-;-;3,67;0,46;5,15;0,39;1,4
10;Głogów ;02.06.2005;20;1150;407,41;0,91;33,8;2,83;19,6;4,88;< 2;-;-;3,07;0,4;4,43;0,37;1,44
11;Krajnik;23.06.2005;20;1120;619,37;1,38;2,58;0,25;38;8,09;< 2;-;-;1,54;0,28;2,89;0,26;1,88
12;Poznań;02.06.2005;20;1005;366,57;0,81;8,51;0,79;38,7;4,11;< 2;-;-;3,15;0,32;4,23;0,4;1,34
13;Wigry;25.05.2005;20;1600;618,54;1,37;8,08;0,67;17,6;4,35;< 2;-;-;1,83;0,31;2,02;0,33;1,1
14;Wadąg;25.05.2005;20;1900;708,8;1,58;14,9;1,2;25,2;3,69;< 2;-;-;2,42;0,3;3,24;0,39;1,34
15;Wielkie Partęczyny;24.05.2005;20;2350;740,84;1,65;8,95;0,72;11,7;1,96;< 2;-;-;3,48;0,39;3,35;0,54;0,96
16;Drawsko;23.06.2005;20;1500;713,39;1,59;4,46;0,38;20,9;9,61;< 2;-;-;1,35;0,25;3,16;0,27;2,34
17;Niesłysz;02.06.2005;20;1830;578,9;1,29;14;1,14;60,9;17,4;< 2;-;-;3,69;0,53;3,54;0,28;0,96
18;Rogóźno;08.06.2005;20;1470;729,7;1,62;9,62;0,78;15;4,14;< 2;-;-;10,3;0,78;11,2;;
1;Kraków Tyniec;05.10.2005;20;1540;679,39;1,51;3,25;0,84;12;5,3;2,2;1,7;0,183;2,9;0,31;4,41;0,31;1,52
